STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1190,Alexander Cross,male,2,6,9,10,4
2,1191,Barry Cain,male,6,2,3,3,7
3,1192,Lawrence Robertson,female,8,7,8,10,8
4,1193,Darla Vasquez,female,9,7,6,10,10
5,1194,Fredrick Miles,female,4,10,6,2,6
6,1195,Dorothy Summers,female,5,2,6,4,4
7,1196,Catherine Erickson,male,1,8,8,1,3
8,1197,Jamie Jackson,female,6,7,2,6,6
9,1198,Erik Snyder,male,9,3,5,4,7
10,1159,Gary Wilkerson,female,9,3,9,7,6
11,1160,Alberta Dunn,female,10,10,3,8,8
12,1161,Joanne Chapman,female,1,7,2,5,4
13,1162,Jacquelyn Hunter,female,3,9,10,4,2
14,1163,Arthur Nguyen,male,5,2,3,4,5
15,1164,Antoinette Wilson,female,3,6,7,2,6
16,1165,Terrence Mann,female,3,5,3,2,1
17,1166,Perry Hernandez,male,5,10,9,3,6
18,1167,Pauline Johnson,male,3,8,9,5,7
19,1168,Gladys Gardner,male,4,4,1,1,10
20,1169,Latoya Jordan,female,8,6,2,9,6
21,1170,Tony Allison,female,1,7,6,7,8
22,1171,Patsy Castro,female,8,5,7,9,2
23,1172,Lucas Little,female,1,1,2,3,5
24,1173,Deanna Silva,male,3,10,8,4,9
25,1174,Harry Pearson,female,9,1,6,4,7
26,1175,Ron Gonzalez,female,10,2,9,6,5
27,1176,Derek Patton,male,1,3,1,10,8
28,1177,Alonzo Hayes,female,4,1,6,8,8
29,1178,Marie Sherman,female,10,3,7,4,7
30,1179,Ed Franklin,female,9,5,1,9,2
31,1180,Lindsey Carlson,male,2,2,3,10,6
32,1181,Nicolas Rogers,female,8,4,5,1,3
33,1182,Daryl Joseph,male,2,6,2,6,7
34,1183,Hector Padilla,male,6,1,7,3,5
35,1184,Penny Barnett,male,2,3,10,2,1
36,1185,Ben Ross,male,9,10,6,5,1
37,1186,Adrienne Lucas,female,2,6,3,10,8
38,1187,Rudy Boone,female,2,2,4,4,4
39,1188,Luis Murray,female,9,1,6,10,8
40,1189,Carl Parsons,male,5,5,9,10,9
