STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1190,Alexander Cross,male,8,1,10,6,3
2,1191,Barry Cain,male,6,3,2,4,2
3,1192,Lawrence Robertson,female,5,7,3,1,5
4,1193,Darla Vasquez,female,7,1,3,6,9
5,1194,Fredrick Miles,female,9,2,4,5,3
6,1195,Dorothy Summers,female,1,7,6,9,1
7,1196,Catherine Erickson,male,5,10,9,6,6
8,1197,Jamie Jackson,female,2,1,9,10,2
9,1198,Erik Snyder,male,9,10,8,9,8
10,1159,Gary Wilkerson,female,8,2,4,3,9
11,1160,Alberta Dunn,female,4,9,6,6,7
12,1161,Joanne Chapman,female,1,4,10,5,5
13,1162,Jacquelyn Hunter,female,1,1,9,6,7
14,1163,Arthur Nguyen,male,3,4,6,6,4
15,1164,Antoinette Wilson,female,5,3,2,8,1
16,1165,Terrence Mann,female,9,1,9,10,10
17,1166,Perry Hernandez,male,5,6,1,6,6
18,1167,Pauline Johnson,male,5,5,10,7,8
19,1168,Gladys Gardner,male,4,6,10,3,2
20,1169,Latoya Jordan,female,5,10,10,7,1
21,1170,Tony Allison,female,9,1,7,4,2
22,1171,Patsy Castro,female,5,4,6,3,10
23,1172,Lucas Little,female,1,6,7,7,8
24,1173,Deanna Silva,male,3,1,7,7,3
25,1174,Harry Pearson,female,1,6,7,1,8
26,1175,Ron Gonzalez,female,3,2,7,4,3
27,1176,Derek Patton,male,9,2,10,4,6
28,1177,Alonzo Hayes,female,1,2,8,1,8
29,1178,Marie Sherman,female,1,2,9,8,8
30,1179,Ed Franklin,female,10,3,6,6,8
31,1180,Lindsey Carlson,male,9,2,3,8,7
32,1181,Nicolas Rogers,female,2,7,4,1,2
33,1182,Daryl Joseph,male,4,8,1,5,3
34,1183,Hector Padilla,male,6,6,2,9,5
35,1184,Penny Barnett,male,10,9,10,2,3
36,1185,Ben Ross,male,7,6,7,1,6
37,1186,Adrienne Lucas,female,2,1,9,10,10
38,1187,Rudy Boone,female,2,8,9,1,9
39,1188,Luis Murray,female,3,4,2,8,6
40,1189,Carl Parsons,male,6,5,5,1,2
