STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1119,Nathaniel Watts,female,3,3,4,3,10
2,1120,Alberta Ingram,male,2,1,2,1,8
3,1121,Gayle Welch,female,1,10,8,5,3
4,1122,Lindsey Elliott,female,3,3,10,5,9
5,1123,Marcus Lindsey,female,3,10,6,5,6
6,1124,Juana Jenkins,female,4,7,4,7,4
7,1125,Martha Peters,female,2,4,3,3,5
8,1126,Katie Glover,male,10,10,9,7,6
9,1127,Mark Perry,female,7,4,2,5,2
10,1128,Jessie Rowe,male,10,5,4,1,2
11,1129,Delores Gibbs,female,1,8,6,5,6
12,1130,Winston Schmidt,female,3,8,4,4,1
13,1131,Betsy Ramos,male,9,5,2,2,8
14,1132,Wesley Terry,female,9,3,4,5,5
15,1133,Stewart Bishop,female,8,6,9,9,5
16,1134,Ricky Frank,male,2,5,2,1,10
17,1135,Brooke Collins,female,6,4,8,2,4
18,1136,Yolanda Gibson,male,8,6,8,5,1
19,1137,Julius Hammond,male,2,7,8,1,4
20,1138,Trevor Klein,female,8,5,2,2,1
21,1139,Olga Henry,male,4,4,8,10,5
22,1140,Yolanda Lawrence,male,5,5,8,1,3
23,1141,Karen Greene,female,4,7,5,5,6
24,1142,Melinda Watts,male,4,3,5,6,3
25,1143,Terry Gibson,female,6,7,2,9,7
26,1144,Rosemarie Simon,male,4,8,3,5,4
27,1145,Dale Chandler,male,9,8,2,3,5
28,1146,Tommie Page,male,7,3,9,8,9
29,1147,Malcolm Wood,female,9,6,4,5,6
30,1148,Jorge Jennings,female,3,8,7,5,9
31,1149,Tammy Sullivan,male,5,3,10,3,1
32,1150,Sherri Stevenson,male,3,10,10,10,5
33,1151,Francis Mccoy,male,5,9,2,5,9
34,1152,Noah Lambert,female,7,6,2,2,9
35,1153,Alvin Ryan,male,8,10,6,7,10
36,1154,Ollie Green,female,8,8,3,7,9
37,1155,Marta Alvarez,female,2,4,7,1,1
38,1156,Jerald Luna,male,6,8,1,2,8
39,1157,Myrtle Barnes,male,2,7,10,2,9
40,1158,Susan Flores,male,8,5,1,1,1
