STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1119,Nathaniel Watts,female,6,5,8,10,4
2,1120,Alberta Ingram,male,8,2,4,9,6
3,1121,Gayle Welch,female,3,7,3,8,6
4,1122,Lindsey Elliott,female,5,9,2,8,6
5,1123,Marcus Lindsey,female,3,10,2,4,6
6,1124,Juana Jenkins,female,10,10,4,1,7
7,1125,Martha Peters,female,1,2,2,9,8
8,1126,Katie Glover,male,1,7,9,1,1
9,1127,Mark Perry,female,9,1,9,10,4
10,1128,Jessie Rowe,male,1,9,9,10,7
11,1129,Delores Gibbs,female,2,5,3,8,9
12,1130,Winston Schmidt,female,1,4,5,3,3
13,1131,Betsy Ramos,male,4,6,8,7,5
14,1132,Wesley Terry,female,1,3,7,4,1
15,1133,Stewart Bishop,female,2,2,6,1,4
16,1134,Ricky Frank,male,3,9,9,9,5
17,1135,Brooke Collins,female,4,3,1,9,3
18,1136,Yolanda Gibson,male,4,4,1,9,2
19,1137,Julius Hammond,male,4,3,4,8,4
20,1138,Trevor Klein,female,10,1,7,6,3
21,1139,Olga Henry,male,1,4,7,9,1
22,1140,Yolanda Lawrence,male,8,8,2,7,9
23,1141,Karen Greene,female,7,2,2,3,1
24,1142,Melinda Watts,male,10,5,2,2,4
25,1143,Terry Gibson,female,3,6,9,6,10
26,1144,Rosemarie Simon,male,7,5,5,7,9
27,1145,Dale Chandler,male,5,2,1,2,5
28,1146,Tommie Page,male,8,1,1,9,1
29,1147,Malcolm Wood,female,1,4,6,8,4
30,1148,Jorge Jennings,female,5,4,1,1,7
31,1149,Tammy Sullivan,male,6,6,3,2,8
32,1150,Sherri Stevenson,male,7,2,7,8,3
33,1151,Francis Mccoy,male,4,3,6,7,5
34,1152,Noah Lambert,female,10,8,7,7,7
35,1153,Alvin Ryan,male,3,3,3,8,8
36,1154,Ollie Green,female,8,6,4,3,5
37,1155,Marta Alvarez,female,2,7,6,10,1
38,1156,Jerald Luna,male,6,6,6,7,9
39,1157,Myrtle Barnes,male,5,7,6,8,9
40,1158,Susan Flores,male,9,4,7,8,3
