fullname,id,gender,birthyear,address
Nathaniel Watts,4337,female,1982,"1400 County Rd 64, Horseheads NY 14845"
Alberta Ingram,7662,male,1967,"135 Fairgrounds Memorial Pkwy, Ithaca NY 14850"
Gayle Welch,9390,female,1976,"2 Gannett Dr, Johnson City NY 13790"
Lindsey Elliott,3736,female,1981,"233 5th Ave Ext, Johnstown NY 12095"
Marcus Lindsey,9606,female,1965,"601 Frank Stottile Blvd, Kingston NY 12401"
Juana Jenkins,8468,female,1987,"350 E Fairmount Ave, Lakewood NY 14750"
Martha Peters,4377,female,1995,"4975 Transit Rd, Lancaster NY 14086"
Katie Glover,5566,male,1972,"579 Troy-Schenectady Road, Latham NY 12110"
Mark Perry,4614,female,1959,"5783 So Transit Road, Lockport NY 14094"
Jessie Rowe,4456,male,1991,"7155 State Rt 12 S, Lowville NY 13367"
Delores Gibbs,9375,female,1971,"425 Route 31, Macedon NY 14502"
Winston Schmidt,4546,female,1959,"3222 State Rt 11, Malone NY 12953"
Betsy Ramos,4316,male,1964,"200 Sunrise Mall, Massapequa NY 11758"
Wesley Terry,8628,female,1982,"43 Stephenville St, Massena NY 13662"
Stewart Bishop,7491,female,1978,"750 Middle Country Road, Middle Island NY 11953"
Ricky Frank,6832,male,1973,"470 Route 211 East, Middletown NY 10940"
Brooke Collins,6926,female,1970,"3133 E Main St, Mohegan Lake NY 10547"
Yolanda Gibson,6966,male,1978,"288 Larkin, Monroe NY 10950"
Julius Hammond,5830,male,1983,"41 Anawana Lake Road, Monticello NY 12701"
Trevor Klein,3659,female,1990,"4765 Commercial Drive, New Hartford NY 13413"
Olga Henry,9149,male,1958,"1201 Rt 300, Newburgh NY 12550"
Yolanda Lawrence,5954,male,1984,"255 W Main St, Avon CT 6001"
Karen Greene,8632,female,1957,"120 Commercial Parkway, Branford CT 6405"
Melinda Watts,9788,male,1958,"1400 Farmington Ave, Bristol CT 6010"
Terry Gibson,9532,female,1983,"161 Berlin Road, Cromwell CT 6416"
Rosemarie Simon,9360,male,1972,"777 Brockton Avenue, Abington MA 2351"
Dale Chandler,8537,male,1991,"656 New Haven Ave, Derby CT 6418"
Tommie Page,6284,male,1962,"69 Prospect Hill Road, East Windsor CT 6088"
Malcolm Wood,7874,female,1994,"150 Gold Star Hwy, Groton CT 6340"
Jorge Jennings,9184,female,1958,"900 Boston Post Road, Guilford CT 6437"
Tammy Sullivan,4650,male,1973,"2300 Dixwell Ave, Hamden CT 6514"
Sherri Stevenson,6354,male,1971,"495 Flatbush Ave, Hartford CT 6106"
Francis Mccoy,5227,male,1972,"180 River Rd, Lisbon CT 6351"
Noah Lambert,7330,female,1962,"420 Buckland Hills Dr, Manchester CT 6040"
Alvin Ryan,7469,male,1971,"1365 Boston Post Road, Milford CT 6460"
Ollie Green,8718,female,1960,"1100 New Haven Road, Naugatuck CT 6770"
Marta Alvarez,4729,female,1985,"315 Foxon Blvd, New Haven CT 6513"
Jerald Luna,7098,male,1986,"164 Danbury Rd, New Milford CT 6776"
Myrtle Barnes,3529,male,1986,"3164 Berlin Turnpike, Newington CT 6111"
Susan Flores,9401,male,1986,"474 Boston Post Road, North Windham CT 6256"
