STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1079,Dixie Campbell,male,8,3,6,4,1
2,1080,Louis Rice,male,3,6,1,6,7
3,1081,Nathan Holland,male,8,1,4,5,10
4,1082,Terrence Wade,male,7,4,9,10,10
5,1083,Everett Mathis,female,10,2,6,5,4
6,1084,Roberta Joseph,female,10,9,5,2,1
7,1085,Julio Hardy,male,8,9,10,10,1
8,1086,Armando Fox,female,10,4,5,2,7
9,1087,Iris Hunter,female,8,5,1,9,4
10,1088,Otis Townsend,female,8,3,5,8,8
11,1089,Olive Harris,male,7,10,2,9,10
12,1090,Ian Brewer,male,3,2,10,4,9
13,1091,Greg Foster,female,2,10,2,4,5
14,1092,Erika Barnes,male,1,5,10,7,3
15,1093,Eric Mccarthy,female,10,9,4,5,6
16,1094,Erik Mcguire,male,9,1,9,8,4
17,1095,Archie Dawson,female,4,5,2,6,7
18,1096,Nancy Hughes,female,6,9,6,8,6
19,1097,Salvador Robbins,female,6,4,8,4,1
20,1098,Casey Neal,female,5,7,2,8,7
21,1099,Ricardo Wilkins,female,6,6,9,10,6
22,1100,Eva Miller,female,4,4,5,4,8
23,1101,Russell Reyes,female,7,9,3,4,9
24,1102,Cora Floyd,male,6,1,2,3,4
25,1103,Rick Herrera,male,5,2,3,2,9
26,1104,Anne Morris,male,5,7,1,2,1
27,1105,Samuel Burke,male,1,1,10,6,7
28,1106,Tara Hawkins,female,5,3,9,6,5
29,1107,Marc Little,male,2,4,1,9,5
30,1108,Andres Houston,female,6,2,1,5,6
31,1109,Geraldine George,male,4,2,4,6,5
32,1110,Fernando Roy,female,4,8,3,7,1
33,1111,Myra Burgess,male,7,8,3,9,3
34,1112,Leah Wilkerson,male,8,4,3,1,9
35,1113,Danielle Ball,female,9,6,4,5,1
36,1114,Carl Rios,female,4,3,1,3,2
37,1115,Viola Thomas,female,3,8,4,8,10
38,1116,Esther Mendoza,female,4,9,1,7,10
39,1117,Constance Ramsey,female,2,4,9,9,6
40,1118,Irene Vasquez,male,3,9,3,2,3
