STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1079,Dixie Campbell,male,3,10,8,9,3
2,1080,Louis Rice,male,7,6,1,9,7
3,1081,Nathan Holland,male,4,9,9,2,7
4,1082,Terrence Wade,male,7,10,4,10,10
5,1083,Everett Mathis,female,4,1,10,7,2
6,1084,Roberta Joseph,female,3,10,4,7,6
7,1085,Julio Hardy,male,10,7,6,6,6
8,1086,Armando Fox,female,8,2,6,7,10
9,1087,Iris Hunter,female,9,9,8,8,7
10,1088,Otis Townsend,female,6,8,2,4,2
11,1089,Olive Harris,male,10,8,9,4,7
12,1090,Ian Brewer,male,10,6,6,7,9
13,1091,Greg Foster,female,9,3,2,5,7
14,1092,Erika Barnes,male,1,8,10,3,9
15,1093,Eric Mccarthy,female,10,5,3,1,5
16,1094,Erik Mcguire,male,6,8,9,1,4
17,1095,Archie Dawson,female,6,6,10,1,9
18,1096,Nancy Hughes,female,4,6,3,9,6
19,1097,Salvador Robbins,female,5,7,8,10,3
20,1098,Casey Neal,female,2,6,4,10,10
21,1099,Ricardo Wilkins,female,1,6,9,4,3
22,1100,Eva Miller,female,10,8,1,6,1
23,1101,Russell Reyes,female,5,4,2,1,5
24,1102,Cora Floyd,male,2,2,3,6,1
25,1103,Rick Herrera,male,4,3,7,1,5
26,1104,Anne Morris,male,7,4,9,3,7
27,1105,Samuel Burke,male,8,4,6,5,7
28,1106,Tara Hawkins,female,3,8,5,4,10
29,1107,Marc Little,male,7,9,7,8,4
30,1108,Andres Houston,female,8,10,4,5,6
31,1109,Geraldine George,male,8,2,5,7,10
32,1110,Fernando Roy,female,4,2,9,8,2
33,1111,Myra Burgess,male,2,10,3,9,2
34,1112,Leah Wilkerson,male,7,5,4,10,5
35,1113,Danielle Ball,female,1,6,9,2,10
36,1114,Carl Rios,female,3,9,3,1,7
37,1115,Viola Thomas,female,2,3,2,7,1
38,1116,Esther Mendoza,female,1,10,8,2,8
39,1117,Constance Ramsey,female,9,5,7,9,8
40,1118,Irene Vasquez,male,9,6,10,4,1
