STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1079,Dixie Campbell,male,4,2,3,1,10
2,1080,Louis Rice,male,6,10,5,3,10
3,1081,Nathan Holland,male,3,3,6,1,5
4,1082,Terrence Wade,male,5,1,10,2,6
5,1083,Everett Mathis,female,10,10,10,8,7
6,1084,Roberta Joseph,female,10,1,4,3,2
7,1085,Julio Hardy,male,7,4,9,2,1
8,1086,Armando Fox,female,4,8,7,6,1
9,1087,Iris Hunter,female,4,4,4,2,7
10,1088,Otis Townsend,female,6,10,8,1,7
11,1089,Olive Harris,male,10,4,2,5,7
12,1090,Ian Brewer,male,5,10,5,8,9
13,1091,Greg Foster,female,9,4,1,8,6
14,1092,Erika Barnes,male,7,9,4,4,3
15,1093,Eric Mccarthy,female,6,5,1,1,1
16,1094,Erik Mcguire,male,2,6,4,2,10
17,1095,Archie Dawson,female,3,4,8,7,2
18,1096,Nancy Hughes,female,1,2,1,3,3
19,1097,Salvador Robbins,female,2,3,3,3,1
20,1098,Casey Neal,female,9,5,1,10,7
21,1099,Ricardo Wilkins,female,7,9,9,1,2
22,1100,Eva Miller,female,7,4,7,10,2
23,1101,Russell Reyes,female,6,9,6,10,5
24,1102,Cora Floyd,male,5,5,7,6,8
25,1103,Rick Herrera,male,9,8,4,7,10
26,1104,Anne Morris,male,3,5,1,3,5
27,1105,Samuel Burke,male,6,1,9,4,5
28,1106,Tara Hawkins,female,2,6,1,3,2
29,1107,Marc Little,male,7,6,6,9,10
30,1108,Andres Houston,female,7,4,5,5,2
31,1109,Geraldine George,male,6,10,8,6,9
32,1110,Fernando Roy,female,2,7,8,5,3
33,1111,Myra Burgess,male,5,5,2,7,4
34,1112,Leah Wilkerson,male,10,4,9,2,1
35,1113,Danielle Ball,female,3,10,6,5,9
36,1114,Carl Rios,female,9,6,4,6,1
37,1115,Viola Thomas,female,1,2,2,9,1
38,1116,Esther Mendoza,female,5,3,3,1,8
39,1117,Constance Ramsey,female,1,8,6,6,5
40,1118,Irene Vasquez,male,5,2,6,3,8
