STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1119,Nathaniel Watts,female,9,7,5,5,6
2,1120,Alberta Ingram,male,3,4,4,3,7
3,1121,Gayle Welch,female,5,6,1,5,9
4,1122,Lindsey Elliott,female,10,3,2,2,10
5,1123,Marcus Lindsey,female,9,8,8,7,10
6,1124,Juana Jenkins,female,5,7,1,9,6
7,1125,Martha Peters,female,3,5,6,10,2
8,1126,Katie Glover,male,3,8,6,8,4
9,1127,Mark Perry,female,2,10,5,4,3
10,1128,Jessie Rowe,male,10,6,7,8,6
11,1129,Delores Gibbs,female,6,5,2,2,8
12,1130,Winston Schmidt,female,8,3,3,7,9
13,1131,Betsy Ramos,male,7,5,10,4,1
14,1132,Wesley Terry,female,2,3,1,8,3
15,1133,Stewart Bishop,female,5,8,7,5,3
16,1134,Ricky Frank,male,8,1,8,10,4
17,1135,Brooke Collins,female,5,10,6,4,2
18,1136,Yolanda Gibson,male,2,5,10,1,7
19,1137,Julius Hammond,male,10,5,3,7,4
20,1138,Trevor Klein,female,3,1,2,9,8
21,1139,Olga Henry,male,6,9,5,8,10
22,1140,Yolanda Lawrence,male,10,2,6,4,8
23,1141,Karen Greene,female,9,3,9,9,5
24,1142,Melinda Watts,male,9,4,3,10,1
25,1143,Terry Gibson,female,8,5,10,5,10
26,1144,Rosemarie Simon,male,6,3,1,7,10
27,1145,Dale Chandler,male,9,10,6,7,2
28,1146,Tommie Page,male,4,5,2,7,7
29,1147,Malcolm Wood,female,5,5,4,1,2
30,1148,Jorge Jennings,female,5,6,8,7,1
31,1149,Tammy Sullivan,male,8,9,2,10,9
32,1150,Sherri Stevenson,male,8,8,8,9,7
33,1151,Francis Mccoy,male,4,1,5,4,6
34,1152,Noah Lambert,female,9,1,6,4,5
35,1153,Alvin Ryan,male,2,4,3,5,1
36,1154,Ollie Green,female,6,7,4,6,6
37,1155,Marta Alvarez,female,5,8,6,5,7
38,1156,Jerald Luna,male,9,4,4,5,10
39,1157,Myrtle Barnes,male,3,1,7,1,4
40,1158,Susan Flores,male,5,7,10,6,8
