STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1119,Nathaniel Watts,female,6,4,10,2,2
2,1120,Alberta Ingram,male,5,3,9,1,9
3,1121,Gayle Welch,female,4,9,2,7,5
4,1122,Lindsey Elliott,female,6,4,2,3,1
5,1123,Marcus Lindsey,female,7,1,9,3,10
6,1124,Juana Jenkins,female,4,4,5,5,5
7,1125,Martha Peters,female,9,2,3,6,4
8,1126,Katie Glover,male,10,2,5,7,6
9,1127,Mark Perry,female,1,8,8,1,6
10,1128,Jessie Rowe,male,10,5,1,6,2
11,1129,Delores Gibbs,female,6,10,9,6,5
12,1130,Winston Schmidt,female,3,9,5,2,4
13,1131,Betsy Ramos,male,1,3,1,3,2
14,1132,Wesley Terry,female,8,5,7,10,2
15,1133,Stewart Bishop,female,5,8,9,2,9
16,1134,Ricky Frank,male,2,10,8,7,7
17,1135,Brooke Collins,female,6,8,2,3,10
18,1136,Yolanda Gibson,male,5,8,1,2,9
19,1137,Julius Hammond,male,9,2,4,4,7
20,1138,Trevor Klein,female,4,9,4,2,6
21,1139,Olga Henry,male,8,6,3,3,1
22,1140,Yolanda Lawrence,male,7,3,1,1,2
23,1141,Karen Greene,female,1,3,9,1,5
24,1142,Melinda Watts,male,1,6,5,3,6
25,1143,Terry Gibson,female,2,4,5,1,5
26,1144,Rosemarie Simon,male,1,2,2,8,2
27,1145,Dale Chandler,male,1,7,2,10,3
28,1146,Tommie Page,male,8,7,3,10,3
29,1147,Malcolm Wood,female,9,3,6,10,2
30,1148,Jorge Jennings,female,5,5,7,9,2
31,1149,Tammy Sullivan,male,6,6,4,3,4
32,1150,Sherri Stevenson,male,5,2,8,4,3
33,1151,Francis Mccoy,male,4,10,5,7,1
34,1152,Noah Lambert,female,10,2,10,1,8
35,1153,Alvin Ryan,male,1,8,2,9,9
36,1154,Ollie Green,female,5,1,8,8,6
37,1155,Marta Alvarez,female,4,7,5,2,4
38,1156,Jerald Luna,male,1,10,9,10,6
39,1157,Myrtle Barnes,male,7,8,8,4,3
40,1158,Susan Flores,male,2,8,6,8,4
