STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1119,Nathaniel Watts,female,5,6,6,3,3
2,1120,Alberta Ingram,male,2,3,10,8,3
3,1121,Gayle Welch,female,2,7,1,10,7
4,1122,Lindsey Elliott,female,4,7,10,2,6
5,1123,Marcus Lindsey,female,1,2,1,6,10
6,1124,Juana Jenkins,female,6,4,8,7,7
7,1125,Martha Peters,female,5,4,9,7,10
8,1126,Katie Glover,male,7,10,10,7,6
9,1127,Mark Perry,female,4,5,9,7,3
10,1128,Jessie Rowe,male,4,2,7,10,10
11,1129,Delores Gibbs,female,3,9,6,7,3
12,1130,Winston Schmidt,female,1,6,4,7,3
13,1131,Betsy Ramos,male,9,6,8,4,2
14,1132,Wesley Terry,female,5,5,10,9,3
15,1133,Stewart Bishop,female,8,5,7,9,4
16,1134,Ricky Frank,male,8,3,4,9,1
17,1135,Brooke Collins,female,8,4,6,8,3
18,1136,Yolanda Gibson,male,8,8,5,3,6
19,1137,Julius Hammond,male,3,1,1,2,1
20,1138,Trevor Klein,female,9,7,5,2,10
21,1139,Olga Henry,male,8,7,9,2,3
22,1140,Yolanda Lawrence,male,3,10,7,6,10
23,1141,Karen Greene,female,9,4,5,3,2
24,1142,Melinda Watts,male,5,7,10,6,10
25,1143,Terry Gibson,female,6,9,6,4,6
26,1144,Rosemarie Simon,male,4,3,8,5,6
27,1145,Dale Chandler,male,1,7,9,9,1
28,1146,Tommie Page,male,7,10,6,8,8
29,1147,Malcolm Wood,female,3,3,10,7,2
30,1148,Jorge Jennings,female,7,5,9,2,8
31,1149,Tammy Sullivan,male,1,1,1,6,9
32,1150,Sherri Stevenson,male,8,8,5,10,8
33,1151,Francis Mccoy,male,10,1,10,5,2
34,1152,Noah Lambert,female,1,7,6,2,6
35,1153,Alvin Ryan,male,5,1,10,1,7
36,1154,Ollie Green,female,9,8,3,2,9
37,1155,Marta Alvarez,female,8,10,5,5,9
38,1156,Jerald Luna,male,8,4,3,4,1
39,1157,Myrtle Barnes,male,5,7,7,3,10
40,1158,Susan Flores,male,6,4,1,6,10
