STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1119,Nathaniel Watts,female,4,6,7,7,5
2,1120,Alberta Ingram,male,1,2,3,9,10
3,1121,Gayle Welch,female,8,9,4,5,8
4,1122,Lindsey Elliott,female,4,3,7,3,3
5,1123,Marcus Lindsey,female,10,7,6,8,9
6,1124,Juana Jenkins,female,7,6,9,5,8
7,1125,Martha Peters,female,9,5,8,6,5
8,1126,Katie Glover,male,2,9,4,3,7
9,1127,Mark Perry,female,10,5,7,10,7
10,1128,Jessie Rowe,male,6,9,2,4,1
11,1129,Delores Gibbs,female,7,3,7,8,7
12,1130,Winston Schmidt,female,7,8,4,3,9
13,1131,Betsy Ramos,male,7,2,3,3,8
14,1132,Wesley Terry,female,5,2,7,2,9
15,1133,Stewart Bishop,female,10,7,2,5,5
16,1134,Ricky Frank,male,7,2,3,9,7
17,1135,Brooke Collins,female,8,5,10,5,6
18,1136,Yolanda Gibson,male,8,10,6,10,2
19,1137,Julius Hammond,male,3,9,9,1,1
20,1138,Trevor Klein,female,4,8,5,1,7
21,1139,Olga Henry,male,4,4,5,1,6
22,1140,Yolanda Lawrence,male,6,6,10,8,3
23,1141,Karen Greene,female,5,3,5,5,10
24,1142,Melinda Watts,male,5,5,1,5,4
25,1143,Terry Gibson,female,1,1,3,8,6
26,1144,Rosemarie Simon,male,4,10,8,8,6
27,1145,Dale Chandler,male,7,9,3,10,5
28,1146,Tommie Page,male,7,10,9,3,4
29,1147,Malcolm Wood,female,6,9,5,3,4
30,1148,Jorge Jennings,female,9,7,3,3,10
31,1149,Tammy Sullivan,male,5,10,1,9,9
32,1150,Sherri Stevenson,male,5,10,5,8,1
33,1151,Francis Mccoy,male,2,2,3,9,2
34,1152,Noah Lambert,female,9,3,7,9,5
35,1153,Alvin Ryan,male,2,1,4,10,2
36,1154,Ollie Green,female,10,3,9,6,6
37,1155,Marta Alvarez,female,3,7,7,6,10
38,1156,Jerald Luna,male,2,6,9,7,7
39,1157,Myrtle Barnes,male,2,6,8,8,8
40,1158,Susan Flores,male,10,10,3,1,9
