STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1119,Nathaniel Watts,female,7,5,5,5,4
2,1120,Alberta Ingram,male,7,2,7,1,10
3,1121,Gayle Welch,female,10,2,7,6,4
4,1122,Lindsey Elliott,female,6,10,4,1,6
5,1123,Marcus Lindsey,female,9,8,4,3,9
6,1124,Juana Jenkins,female,8,2,4,3,7
7,1125,Martha Peters,female,9,8,4,2,6
8,1126,Katie Glover,male,10,3,9,7,2
9,1127,Mark Perry,female,1,9,3,9,2
10,1128,Jessie Rowe,male,8,5,6,10,9
11,1129,Delores Gibbs,female,7,9,10,5,4
12,1130,Winston Schmidt,female,7,9,10,1,10
13,1131,Betsy Ramos,male,1,2,2,7,10
14,1132,Wesley Terry,female,1,6,5,2,9
15,1133,Stewart Bishop,female,4,9,5,3,9
16,1134,Ricky Frank,male,6,5,8,1,8
17,1135,Brooke Collins,female,3,10,5,6,4
18,1136,Yolanda Gibson,male,7,8,9,3,5
19,1137,Julius Hammond,male,7,9,8,6,9
20,1138,Trevor Klein,female,8,2,8,8,3
21,1139,Olga Henry,male,8,4,1,7,6
22,1140,Yolanda Lawrence,male,1,5,1,1,5
23,1141,Karen Greene,female,4,1,1,10,3
24,1142,Melinda Watts,male,2,2,10,1,9
25,1143,Terry Gibson,female,5,8,10,5,1
26,1144,Rosemarie Simon,male,5,4,9,8,8
27,1145,Dale Chandler,male,10,8,8,7,2
28,1146,Tommie Page,male,7,10,10,4,8
29,1147,Malcolm Wood,female,3,4,9,1,6
30,1148,Jorge Jennings,female,1,8,3,1,10
31,1149,Tammy Sullivan,male,4,1,6,6,4
32,1150,Sherri Stevenson,male,3,5,2,6,5
33,1151,Francis Mccoy,male,2,3,8,1,5
34,1152,Noah Lambert,female,1,8,10,10,5
35,1153,Alvin Ryan,male,2,6,4,9,3
36,1154,Ollie Green,female,7,9,4,4,9
37,1155,Marta Alvarez,female,5,5,2,6,1
38,1156,Jerald Luna,male,10,2,9,9,3
39,1157,Myrtle Barnes,male,3,7,2,10,6
40,1158,Susan Flores,male,8,9,4,7,1
