STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1190,Alexander Cross,male,6,4,9,7,3
2,1191,Barry Cain,male,8,2,2,8,10
3,1192,Lawrence Robertson,female,8,7,1,8,4
4,1193,Darla Vasquez,female,9,2,8,6,8
5,1194,Fredrick Miles,female,10,1,9,7,10
6,1195,Dorothy Summers,female,1,7,1,1,10
7,1196,Catherine Erickson,male,1,4,5,6,9
8,1197,Jamie Jackson,female,6,3,4,4,1
9,1198,Erik Snyder,male,1,4,1,4,3
10,1159,Gary Wilkerson,female,2,8,10,1,6
11,1160,Alberta Dunn,female,8,5,10,2,8
12,1161,Joanne Chapman,female,4,5,4,9,5
13,1162,Jacquelyn Hunter,female,4,2,4,5,1
14,1163,Arthur Nguyen,male,6,10,10,9,6
15,1164,Antoinette Wilson,female,4,3,8,2,10
16,1165,Terrence Mann,female,6,3,4,3,1
17,1166,Perry Hernandez,male,6,10,1,2,9
18,1167,Pauline Johnson,male,8,9,1,3,10
19,1168,Gladys Gardner,male,6,10,8,9,1
20,1169,Latoya Jordan,female,9,9,10,5,7
21,1170,Tony Allison,female,10,5,9,5,9
22,1171,Patsy Castro,female,6,6,3,1,10
23,1172,Lucas Little,female,1,8,4,4,6
24,1173,Deanna Silva,male,5,5,1,8,9
25,1174,Harry Pearson,female,8,6,7,6,9
26,1175,Ron Gonzalez,female,7,2,3,1,6
27,1176,Derek Patton,male,3,9,3,2,6
28,1177,Alonzo Hayes,female,7,2,6,4,10
29,1178,Marie Sherman,female,10,6,10,7,10
30,1179,Ed Franklin,female,3,3,10,10,7
31,1180,Lindsey Carlson,male,1,9,9,3,7
32,1181,Nicolas Rogers,female,7,4,8,8,4
33,1182,Daryl Joseph,male,10,6,3,3,6
34,1183,Hector Padilla,male,6,7,10,8,4
35,1184,Penny Barnett,male,6,10,5,10,10
36,1185,Ben Ross,male,9,8,3,5,9
37,1186,Adrienne Lucas,female,8,5,8,7,5
38,1187,Rudy Boone,female,1,6,5,10,7
39,1188,Luis Murray,female,6,9,1,6,4
40,1189,Carl Parsons,male,7,8,2,3,8
