STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1190,Alexander Cross,male,6,10,1,2,10
2,1191,Barry Cain,male,8,7,6,3,1
3,1192,Lawrence Robertson,female,9,6,3,1,7
4,1193,Darla Vasquez,female,5,7,10,6,2
5,1194,Fredrick Miles,female,7,1,10,6,5
6,1195,Dorothy Summers,female,4,9,9,7,2
7,1196,Catherine Erickson,male,8,4,7,5,1
8,1197,Jamie Jackson,female,7,3,7,8,2
9,1198,Erik Snyder,male,3,9,1,2,10
10,1159,Gary Wilkerson,female,8,8,5,8,6
11,1160,Alberta Dunn,female,7,6,6,10,9
12,1161,Joanne Chapman,female,9,8,4,1,6
13,1162,Jacquelyn Hunter,female,8,4,7,1,5
14,1163,Arthur Nguyen,male,9,1,8,10,10
15,1164,Antoinette Wilson,female,4,2,5,6,8
16,1165,Terrence Mann,female,2,10,4,5,6
17,1166,Perry Hernandez,male,6,7,8,3,6
18,1167,Pauline Johnson,male,6,8,6,2,1
19,1168,Gladys Gardner,male,2,4,8,7,5
20,1169,Latoya Jordan,female,2,8,1,2,6
21,1170,Tony Allison,female,3,5,4,3,10
22,1171,Patsy Castro,female,6,9,9,3,6
23,1172,Lucas Little,female,6,8,2,4,8
24,1173,Deanna Silva,male,9,4,6,9,7
25,1174,Harry Pearson,female,8,3,1,10,9
26,1175,Ron Gonzalez,female,3,6,1,9,6
27,1176,Derek Patton,male,2,3,6,10,9
28,1177,Alonzo Hayes,female,2,7,7,3,7
29,1178,Marie Sherman,female,1,5,8,9,9
30,1179,Ed Franklin,female,3,9,2,6,7
31,1180,Lindsey Carlson,male,5,10,5,1,9
32,1181,Nicolas Rogers,female,8,7,6,8,10
33,1182,Daryl Joseph,male,7,9,1,1,10
34,1183,Hector Padilla,male,8,3,9,2,10
35,1184,Penny Barnett,male,3,2,2,8,3
36,1185,Ben Ross,male,6,4,3,2,10
37,1186,Adrienne Lucas,female,10,7,3,3,3
38,1187,Rudy Boone,female,3,10,2,2,1
39,1188,Luis Murray,female,9,7,10,10,4
40,1189,Carl Parsons,male,4,4,4,7,3
