STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1039,Maria King,male,6,4,7,10,7
2,1040,Cornelius Delgado,female,6,7,5,10,5
3,1041,Jo Underwood,female,9,2,2,8,5
4,1042,Guadalupe Aguilar,female,3,2,2,1,8
5,1043,Stacey Wood,male,2,9,8,4,6
6,1044,Darin Dawson,female,3,3,2,5,1
7,1045,James Carson,male,4,1,3,3,4
8,1046,Bonnie Taylor,male,10,6,9,1,8
9,1047,Rickey Maldonado,female,10,5,5,4,6
10,1048,Ivan Shaw,female,8,9,8,5,9
11,1049,Krista Murphy,female,7,4,1,10,7
12,1050,Mona Tyler,female,5,8,6,2,10
13,1051,Laverne Roberts,female,8,5,6,9,6
14,1052,Rex Soto,female,3,8,3,1,7
15,1053,Robert Matthews,female,6,2,4,2,10
16,1054,Maryann Newman,female,10,9,5,8,3
17,1055,Gordon Oliver,male,1,4,5,6,9
18,1056,Kelvin Greene,female,10,9,5,8,8
19,1057,Elbert Burns,female,1,6,1,8,5
20,1058,Nicole Garrett,male,1,8,1,5,7
21,1059,Jerald Crawford,male,8,6,5,7,4
22,1060,Catherine Torres,male,8,6,7,9,1
23,1061,Stanley Vega,male,4,2,1,3,10
24,1062,Frederick Ray,female,9,2,7,7,7
25,1063,Loren Barnett,female,4,9,8,9,1
26,1064,Terrance Wallace,female,10,7,9,2,4
27,1065,Johanna Warren,male,8,1,10,1,7
28,1066,Dallas Benson,male,7,1,1,10,2
29,1067,Malcolm Cooper,male,5,5,10,8,8
30,1068,Troy Mcdonald,female,4,7,1,9,4
31,1069,Sergio Morrison,male,7,1,3,1,9
32,1070,Genevieve Bell,female,1,9,10,7,10
33,1071,Celia Swanson,male,7,8,4,1,7
34,1072,Jordan Tran,female,6,9,8,2,7
35,1073,Amy Black,male,6,6,9,5,8
36,1074,Craig Barton,male,6,2,6,1,7
37,1075,Lynn Adams,female,8,8,9,2,3
38,1076,Clifford Patton,male,9,1,7,5,2
39,1077,Wilma Simpson,female,9,4,1,9,2
40,1078,Beth Simmons,male,2,7,7,5,1
