STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1039,Maria King,male,2,10,2,3,9
2,1040,Cornelius Delgado,female,2,8,10,6,9
3,1041,Jo Underwood,female,3,7,2,2,7
4,1042,Guadalupe Aguilar,female,1,2,4,5,6
5,1043,Stacey Wood,male,9,1,3,5,7
6,1044,Darin Dawson,female,4,7,10,2,4
7,1045,James Carson,male,7,10,9,10,3
8,1046,Bonnie Taylor,male,9,6,1,4,4
9,1047,Rickey Maldonado,female,10,3,1,2,1
10,1048,Ivan Shaw,female,9,1,4,1,8
11,1049,Krista Murphy,female,2,4,7,8,6
12,1050,Mona Tyler,female,5,5,7,6,3
13,1051,Laverne Roberts,female,4,10,4,7,8
14,1052,Rex Soto,female,4,9,5,3,2
15,1053,Robert Matthews,female,7,5,1,3,3
16,1054,Maryann Newman,female,9,2,1,9,5
17,1055,Gordon Oliver,male,9,9,2,2,7
18,1056,Kelvin Greene,female,4,10,8,4,1
19,1057,Elbert Burns,female,1,10,2,9,8
20,1058,Nicole Garrett,male,3,4,8,9,3
21,1059,Jerald Crawford,male,7,3,10,10,10
22,1060,Catherine Torres,male,6,4,5,7,3
23,1061,Stanley Vega,male,3,5,10,6,1
24,1062,Frederick Ray,female,4,10,10,5,4
25,1063,Loren Barnett,female,6,1,5,4,8
26,1064,Terrance Wallace,female,2,3,2,2,8
27,1065,Johanna Warren,male,2,3,4,4,7
28,1066,Dallas Benson,male,9,8,10,1,5
29,1067,Malcolm Cooper,male,8,5,6,4,4
30,1068,Troy Mcdonald,female,6,5,3,6,1
31,1069,Sergio Morrison,male,1,6,6,4,10
32,1070,Genevieve Bell,female,4,5,2,7,6
33,1071,Celia Swanson,male,3,9,3,10,6
34,1072,Jordan Tran,female,7,1,3,9,6
35,1073,Amy Black,male,6,8,7,4,2
36,1074,Craig Barton,male,2,5,1,4,7
37,1075,Lynn Adams,female,10,9,3,7,2
38,1076,Clifford Patton,male,3,3,3,6,7
39,1077,Wilma Simpson,female,1,2,8,7,4
40,1078,Beth Simmons,male,5,5,1,8,4
