STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1079,Dixie Campbell,male,8,10,10,1,2
2,1080,Louis Rice,male,8,7,10,4,10
3,1081,Nathan Holland,male,2,3,7,2,2
4,1082,Terrence Wade,male,8,7,8,3,5
5,1083,Everett Mathis,female,3,4,5,9,6
6,1084,Roberta Joseph,female,7,4,10,6,9
7,1085,Julio Hardy,male,1,6,6,2,9
8,1086,Armando Fox,female,10,2,10,10,7
9,1087,Iris Hunter,female,8,8,5,6,1
10,1088,Otis Townsend,female,4,2,10,6,2
11,1089,Olive Harris,male,6,4,5,7,3
12,1090,Ian Brewer,male,1,2,4,6,9
13,1091,Greg Foster,female,10,4,3,7,1
14,1092,Erika Barnes,male,6,6,4,9,7
15,1093,Eric Mccarthy,female,8,5,4,3,8
16,1094,Erik Mcguire,male,9,10,6,6,4
17,1095,Archie Dawson,female,5,7,4,2,7
18,1096,Nancy Hughes,female,1,7,7,4,8
19,1097,Salvador Robbins,female,1,6,7,9,1
20,1098,Casey Neal,female,3,7,3,5,1
21,1099,Ricardo Wilkins,female,5,10,2,6,4
22,1100,Eva Miller,female,2,9,3,7,5
23,1101,Russell Reyes,female,2,4,7,2,4
24,1102,Cora Floyd,male,6,4,5,6,8
25,1103,Rick Herrera,male,7,10,1,2,9
26,1104,Anne Morris,male,1,1,9,1,2
27,1105,Samuel Burke,male,8,2,5,7,10
28,1106,Tara Hawkins,female,6,1,10,9,5
29,1107,Marc Little,male,5,2,5,8,6
30,1108,Andres Houston,female,3,9,6,9,1
31,1109,Geraldine George,male,7,5,3,3,1
32,1110,Fernando Roy,female,1,3,8,10,3
33,1111,Myra Burgess,male,1,4,6,10,8
34,1112,Leah Wilkerson,male,2,9,7,7,4
35,1113,Danielle Ball,female,4,8,2,10,9
36,1114,Carl Rios,female,1,5,7,3,10
37,1115,Viola Thomas,female,6,6,2,6,5
38,1116,Esther Mendoza,female,8,9,8,1,10
39,1117,Constance Ramsey,female,6,6,4,5,6
40,1118,Irene Vasquez,male,2,1,7,1,8
