STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1079,Dixie Campbell,male,1,9,2,5,3
2,1080,Louis Rice,male,4,4,2,10,4
3,1081,Nathan Holland,male,10,8,2,2,2
4,1082,Terrence Wade,male,4,9,8,7,4
5,1083,Everett Mathis,female,9,5,4,2,8
6,1084,Roberta Joseph,female,10,2,1,3,6
7,1085,Julio Hardy,male,7,6,7,8,10
8,1086,Armando Fox,female,10,1,9,4,9
9,1087,Iris Hunter,female,4,7,3,8,8
10,1088,Otis Townsend,female,6,7,6,5,5
11,1089,Olive Harris,male,7,1,10,1,7
12,1090,Ian Brewer,male,1,4,6,5,5
13,1091,Greg Foster,female,6,1,2,2,4
14,1092,Erika Barnes,male,8,1,8,2,8
15,1093,Eric Mccarthy,female,9,10,8,3,4
16,1094,Erik Mcguire,male,5,8,3,7,1
17,1095,Archie Dawson,female,4,3,3,10,8
18,1096,Nancy Hughes,female,9,3,8,4,7
19,1097,Salvador Robbins,female,4,2,5,1,5
20,1098,Casey Neal,female,4,10,3,3,4
21,1099,Ricardo Wilkins,female,10,7,3,4,8
22,1100,Eva Miller,female,1,9,6,9,10
23,1101,Russell Reyes,female,7,4,4,8,7
24,1102,Cora Floyd,male,4,1,9,7,8
25,1103,Rick Herrera,male,2,6,10,9,1
26,1104,Anne Morris,male,6,4,10,9,10
27,1105,Samuel Burke,male,1,3,6,2,8
28,1106,Tara Hawkins,female,8,9,2,3,10
29,1107,Marc Little,male,9,6,1,2,2
30,1108,Andres Houston,female,8,5,7,5,9
31,1109,Geraldine George,male,10,10,9,4,8
32,1110,Fernando Roy,female,4,2,7,2,8
33,1111,Myra Burgess,male,5,10,2,9,6
34,1112,Leah Wilkerson,male,9,4,4,4,4
35,1113,Danielle Ball,female,7,7,4,10,3
36,1114,Carl Rios,female,2,4,8,2,5
37,1115,Viola Thomas,female,6,4,5,7,1
38,1116,Esther Mendoza,female,1,8,7,3,6
39,1117,Constance Ramsey,female,2,2,5,8,3
40,1118,Irene Vasquez,male,7,4,8,6,5
