STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1079,Dixie Campbell,male,5,5,10,3,7
2,1080,Louis Rice,male,4,10,4,10,4
3,1081,Nathan Holland,male,2,6,8,8,2
4,1082,Terrence Wade,male,10,7,8,2,2
5,1083,Everett Mathis,female,5,9,3,2,1
6,1084,Roberta Joseph,female,2,6,2,8,6
7,1085,Julio Hardy,male,4,1,1,9,5
8,1086,Armando Fox,female,10,1,7,6,4
9,1087,Iris Hunter,female,5,3,10,8,6
10,1088,Otis Townsend,female,9,8,5,5,2
11,1089,Olive Harris,male,2,1,5,3,2
12,1090,Ian Brewer,male,6,6,10,5,9
13,1091,Greg Foster,female,1,5,9,4,9
14,1092,Erika Barnes,male,10,10,5,9,4
15,1093,Eric Mccarthy,female,7,2,9,10,3
16,1094,Erik Mcguire,male,2,1,1,3,6
17,1095,Archie Dawson,female,5,8,3,9,4
18,1096,Nancy Hughes,female,5,5,7,8,7
19,1097,Salvador Robbins,female,5,5,5,7,6
20,1098,Casey Neal,female,3,5,9,1,2
21,1099,Ricardo Wilkins,female,5,9,5,9,8
22,1100,Eva Miller,female,3,6,6,3,3
23,1101,Russell Reyes,female,9,6,1,5,2
24,1102,Cora Floyd,male,9,8,3,6,7
25,1103,Rick Herrera,male,3,3,10,6,7
26,1104,Anne Morris,male,5,7,9,3,5
27,1105,Samuel Burke,male,5,5,10,6,6
28,1106,Tara Hawkins,female,5,4,9,7,3
29,1107,Marc Little,male,10,3,3,7,5
30,1108,Andres Houston,female,3,3,4,8,5
31,1109,Geraldine George,male,2,4,4,6,2
32,1110,Fernando Roy,female,8,4,3,7,7
33,1111,Myra Burgess,male,2,7,5,3,1
34,1112,Leah Wilkerson,male,1,3,1,2,7
35,1113,Danielle Ball,female,2,1,1,1,4
36,1114,Carl Rios,female,1,7,1,3,3
37,1115,Viola Thomas,female,10,2,2,5,7
38,1116,Esther Mendoza,female,10,8,8,9,5
39,1117,Constance Ramsey,female,10,1,2,7,5
40,1118,Irene Vasquez,male,9,8,5,4,4
