STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1190,Alexander Cross,male,5,5,9,7,6
2,1191,Barry Cain,male,10,10,5,1,3
3,1192,Lawrence Robertson,female,3,7,5,10,3
4,1193,Darla Vasquez,female,4,3,8,8,5
5,1194,Fredrick Miles,female,5,6,6,9,5
6,1195,Dorothy Summers,female,9,1,4,7,2
7,1196,Catherine Erickson,male,8,6,2,6,4
8,1197,Jamie Jackson,female,8,5,1,7,5
9,1198,Erik Snyder,male,7,6,6,1,2
10,1159,Gary Wilkerson,female,6,9,4,6,10
11,1160,Alberta Dunn,female,8,4,9,9,2
12,1161,Joanne Chapman,female,9,7,1,6,10
13,1162,Jacquelyn Hunter,female,3,6,8,9,5
14,1163,Arthur Nguyen,male,10,8,5,2,2
15,1164,Antoinette Wilson,female,6,6,8,1,1
16,1165,Terrence Mann,female,2,3,8,5,7
17,1166,Perry Hernandez,male,1,9,10,9,6
18,1167,Pauline Johnson,male,7,1,4,2,9
19,1168,Gladys Gardner,male,10,9,9,7,2
20,1169,Latoya Jordan,female,4,9,4,5,2
21,1170,Tony Allison,female,4,8,4,7,2
22,1171,Patsy Castro,female,2,6,10,7,4
23,1172,Lucas Little,female,1,1,4,4,3
24,1173,Deanna Silva,male,8,2,2,1,6
25,1174,Harry Pearson,female,9,8,5,7,1
26,1175,Ron Gonzalez,female,5,6,1,2,1
27,1176,Derek Patton,male,5,9,8,6,2
28,1177,Alonzo Hayes,female,2,3,9,7,7
29,1178,Marie Sherman,female,3,3,8,1,1
30,1179,Ed Franklin,female,6,6,8,5,8
31,1180,Lindsey Carlson,male,8,9,10,10,3
32,1181,Nicolas Rogers,female,6,10,10,9,4
33,1182,Daryl Joseph,male,10,3,10,4,9
34,1183,Hector Padilla,male,7,1,7,5,8
35,1184,Penny Barnett,male,5,8,3,1,9
36,1185,Ben Ross,male,3,10,4,5,6
37,1186,Adrienne Lucas,female,10,2,3,1,9
38,1187,Rudy Boone,female,6,5,6,7,10
39,1188,Luis Murray,female,9,2,8,4,2
40,1189,Carl Parsons,male,3,7,4,6,2
