STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1190,Alexander Cross,male,1,9,9,9,9
2,1191,Barry Cain,male,4,4,2,6,1
3,1192,Lawrence Robertson,female,4,7,9,6,6
4,1193,Darla Vasquez,female,3,10,1,3,3
5,1194,Fredrick Miles,female,9,3,6,5,5
6,1195,Dorothy Summers,female,2,7,2,6,10
7,1196,Catherine Erickson,male,9,7,10,1,1
8,1197,Jamie Jackson,female,8,4,7,9,9
9,1198,Erik Snyder,male,4,6,2,5,10
10,1159,Gary Wilkerson,female,6,6,5,1,6
11,1160,Alberta Dunn,female,5,2,10,10,6
12,1161,Joanne Chapman,female,10,3,8,10,5
13,1162,Jacquelyn Hunter,female,5,5,6,8,7
14,1163,Arthur Nguyen,male,3,7,3,9,1
15,1164,Antoinette Wilson,female,9,5,7,2,4
16,1165,Terrence Mann,female,9,3,6,9,8
17,1166,Perry Hernandez,male,6,8,5,7,7
18,1167,Pauline Johnson,male,1,3,7,9,2
19,1168,Gladys Gardner,male,4,7,10,2,3
20,1169,Latoya Jordan,female,3,2,5,1,1
21,1170,Tony Allison,female,1,3,9,9,2
22,1171,Patsy Castro,female,10,8,4,4,8
23,1172,Lucas Little,female,10,8,8,3,5
24,1173,Deanna Silva,male,8,1,6,4,6
25,1174,Harry Pearson,female,8,8,8,3,3
26,1175,Ron Gonzalez,female,5,1,1,4,4
27,1176,Derek Patton,male,1,7,4,3,8
28,1177,Alonzo Hayes,female,10,10,6,9,5
29,1178,Marie Sherman,female,2,2,9,3,2
30,1179,Ed Franklin,female,5,8,5,7,8
31,1180,Lindsey Carlson,male,8,4,7,4,6
32,1181,Nicolas Rogers,female,10,9,1,4,6
33,1182,Daryl Joseph,male,1,1,8,1,2
34,1183,Hector Padilla,male,2,1,9,10,10
35,1184,Penny Barnett,male,8,9,7,10,6
36,1185,Ben Ross,male,5,4,9,4,8
37,1186,Adrienne Lucas,female,8,8,3,5,2
38,1187,Rudy Boone,female,7,1,10,5,5
39,1188,Luis Murray,female,9,7,1,1,9
40,1189,Carl Parsons,male,6,4,5,5,10
