STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1190,Alexander Cross,male,4,5,8,2,3
2,1191,Barry Cain,male,8,5,4,2,4
3,1192,Lawrence Robertson,female,5,5,3,3,9
4,1193,Darla Vasquez,female,9,9,9,2,9
5,1194,Fredrick Miles,female,9,8,6,8,9
6,1195,Dorothy Summers,female,1,3,5,9,3
7,1196,Catherine Erickson,male,4,2,1,4,8
8,1197,Jamie Jackson,female,8,4,1,7,7
9,1198,Erik Snyder,male,4,3,6,8,5
10,1159,Gary Wilkerson,female,2,5,8,9,4
11,1160,Alberta Dunn,female,2,6,6,3,9
12,1161,Joanne Chapman,female,4,5,8,2,8
13,1162,Jacquelyn Hunter,female,9,7,3,9,5
14,1163,Arthur Nguyen,male,8,3,5,5,6
15,1164,Antoinette Wilson,female,8,8,2,6,9
16,1165,Terrence Mann,female,9,2,10,8,10
17,1166,Perry Hernandez,male,1,3,4,1,6
18,1167,Pauline Johnson,male,9,3,9,1,2
19,1168,Gladys Gardner,male,3,5,7,10,10
20,1169,Latoya Jordan,female,8,3,1,9,3
21,1170,Tony Allison,female,10,5,7,7,10
22,1171,Patsy Castro,female,4,2,10,10,6
23,1172,Lucas Little,female,4,5,6,4,1
24,1173,Deanna Silva,male,4,7,10,1,4
25,1174,Harry Pearson,female,9,1,1,4,7
26,1175,Ron Gonzalez,female,8,7,6,4,3
27,1176,Derek Patton,male,10,4,5,6,10
28,1177,Alonzo Hayes,female,9,1,9,10,10
29,1178,Marie Sherman,female,1,10,3,3,8
30,1179,Ed Franklin,female,10,9,1,6,6
31,1180,Lindsey Carlson,male,8,9,3,4,4
32,1181,Nicolas Rogers,female,4,6,8,10,1
33,1182,Daryl Joseph,male,10,5,1,7,4
34,1183,Hector Padilla,male,5,4,1,5,7
35,1184,Penny Barnett,male,8,6,10,9,5
36,1185,Ben Ross,male,8,9,2,3,8
37,1186,Adrienne Lucas,female,1,4,2,2,3
38,1187,Rudy Boone,female,4,3,3,6,2
39,1188,Luis Murray,female,10,8,10,8,5
40,1189,Carl Parsons,male,8,4,9,5,8
