STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1190,Alexander Cross,male,5,10,5,2,7
2,1191,Barry Cain,male,10,4,9,7,7
3,1192,Lawrence Robertson,female,3,7,1,1,3
4,1193,Darla Vasquez,female,2,1,8,2,2
5,1194,Fredrick Miles,female,10,1,6,8,2
6,1195,Dorothy Summers,female,9,2,10,2,8
7,1196,Catherine Erickson,male,9,1,1,4,4
8,1197,Jamie Jackson,female,8,9,1,1,1
9,1198,Erik Snyder,male,1,7,3,3,8
10,1159,Gary Wilkerson,female,3,9,5,4,1
11,1160,Alberta Dunn,female,4,3,7,7,8
12,1161,Joanne Chapman,female,8,2,6,7,5
13,1162,Jacquelyn Hunter,female,1,7,9,3,1
14,1163,Arthur Nguyen,male,5,2,5,8,3
15,1164,Antoinette Wilson,female,3,6,9,7,7
16,1165,Terrence Mann,female,1,8,5,8,5
17,1166,Perry Hernandez,male,10,7,8,10,5
18,1167,Pauline Johnson,male,1,2,2,2,6
19,1168,Gladys Gardner,male,7,5,3,6,9
20,1169,Latoya Jordan,female,1,8,5,6,2
21,1170,Tony Allison,female,6,6,4,6,3
22,1171,Patsy Castro,female,2,7,3,3,8
23,1172,Lucas Little,female,4,9,3,5,8
24,1173,Deanna Silva,male,3,8,10,8,8
25,1174,Harry Pearson,female,1,4,4,6,5
26,1175,Ron Gonzalez,female,1,6,6,5,6
27,1176,Derek Patton,male,10,6,5,2,9
28,1177,Alonzo Hayes,female,5,7,7,4,4
29,1178,Marie Sherman,female,7,8,1,6,6
30,1179,Ed Franklin,female,3,4,1,1,1
31,1180,Lindsey Carlson,male,8,7,1,5,10
32,1181,Nicolas Rogers,female,9,10,5,1,8
33,1182,Daryl Joseph,male,9,10,4,4,5
34,1183,Hector Padilla,male,3,2,7,7,3
35,1184,Penny Barnett,male,3,2,1,3,2
36,1185,Ben Ross,male,1,4,5,3,6
37,1186,Adrienne Lucas,female,7,5,4,10,1
38,1187,Rudy Boone,female,2,5,9,8,6
39,1188,Luis Murray,female,3,3,2,3,7
40,1189,Carl Parsons,male,10,3,7,8,9
