STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1119,Nathaniel Watts,female,7,1,9,9,3
2,1120,Alberta Ingram,male,10,10,3,8,9
3,1121,Gayle Welch,female,6,1,4,2,4
4,1122,Lindsey Elliott,female,2,10,5,1,6
5,1123,Marcus Lindsey,female,10,1,2,5,4
6,1124,Juana Jenkins,female,1,10,3,1,1
7,1125,Martha Peters,female,9,7,8,3,9
8,1126,Katie Glover,male,2,1,9,7,6
9,1127,Mark Perry,female,1,3,7,5,6
10,1128,Jessie Rowe,male,3,4,4,9,5
11,1129,Delores Gibbs,female,7,3,7,4,1
12,1130,Winston Schmidt,female,9,7,5,9,7
13,1131,Betsy Ramos,male,10,2,7,4,7
14,1132,Wesley Terry,female,3,7,4,4,2
15,1133,Stewart Bishop,female,1,9,6,1,4
16,1134,Ricky Frank,male,9,6,1,5,4
17,1135,Brooke Collins,female,8,10,5,6,9
18,1136,Yolanda Gibson,male,7,6,5,5,2
19,1137,Julius Hammond,male,2,8,9,9,5
20,1138,Trevor Klein,female,2,6,6,9,1
21,1139,Olga Henry,male,9,10,4,7,4
22,1140,Yolanda Lawrence,male,5,4,2,5,5
23,1141,Karen Greene,female,5,5,4,1,10
24,1142,Melinda Watts,male,1,2,7,8,8
25,1143,Terry Gibson,female,8,3,1,4,8
26,1144,Rosemarie Simon,male,7,5,7,2,4
27,1145,Dale Chandler,male,2,9,4,1,8
28,1146,Tommie Page,male,2,10,9,8,1
29,1147,Malcolm Wood,female,4,10,6,1,7
30,1148,Jorge Jennings,female,3,3,2,7,7
31,1149,Tammy Sullivan,male,6,7,4,6,2
32,1150,Sherri Stevenson,male,5,8,2,2,5
33,1151,Francis Mccoy,male,7,3,10,5,2
34,1152,Noah Lambert,female,7,2,6,3,8
35,1153,Alvin Ryan,male,9,4,2,8,9
36,1154,Ollie Green,female,4,1,8,9,2
37,1155,Marta Alvarez,female,1,3,3,5,10
38,1156,Jerald Luna,male,4,5,10,10,6
39,1157,Myrtle Barnes,male,5,3,8,7,3
40,1158,Susan Flores,male,6,5,4,3,7
