STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1119,Nathaniel Watts,female,10,7,5,2,10
2,1120,Alberta Ingram,male,3,3,2,6,2
3,1121,Gayle Welch,female,9,5,5,8,4
4,1122,Lindsey Elliott,female,2,3,3,4,2
5,1123,Marcus Lindsey,female,4,5,4,3,5
6,1124,Juana Jenkins,female,7,7,4,4,10
7,1125,Martha Peters,female,1,6,6,4,8
8,1126,Katie Glover,male,9,3,3,1,8
9,1127,Mark Perry,female,9,8,9,2,3
10,1128,Jessie Rowe,male,3,1,6,6,3
11,1129,Delores Gibbs,female,10,1,1,8,5
12,1130,Winston Schmidt,female,8,8,2,3,8
13,1131,Betsy Ramos,male,1,9,8,5,2
14,1132,Wesley Terry,female,10,7,4,9,4
15,1133,Stewart Bishop,female,9,7,7,5,5
16,1134,Ricky Frank,male,2,8,4,5,10
17,1135,Brooke Collins,female,6,9,3,4,4
18,1136,Yolanda Gibson,male,7,6,5,9,6
19,1137,Julius Hammond,male,9,1,2,2,8
20,1138,Trevor Klein,female,7,1,2,6,6
21,1139,Olga Henry,male,10,7,9,9,6
22,1140,Yolanda Lawrence,male,2,6,1,9,6
23,1141,Karen Greene,female,5,5,1,2,2
24,1142,Melinda Watts,male,4,4,4,4,6
25,1143,Terry Gibson,female,2,1,2,3,6
26,1144,Rosemarie Simon,male,6,5,9,7,1
27,1145,Dale Chandler,male,2,3,5,5,5
28,1146,Tommie Page,male,8,9,3,8,3
29,1147,Malcolm Wood,female,6,10,4,3,10
30,1148,Jorge Jennings,female,9,10,5,3,6
31,1149,Tammy Sullivan,male,3,10,1,2,2
32,1150,Sherri Stevenson,male,9,2,10,3,8
33,1151,Francis Mccoy,male,3,7,10,7,7
34,1152,Noah Lambert,female,6,2,2,1,4
35,1153,Alvin Ryan,male,4,5,4,2,7
36,1154,Ollie Green,female,7,5,5,2,7
37,1155,Marta Alvarez,female,5,4,4,8,10
38,1156,Jerald Luna,male,8,3,8,4,2
39,1157,Myrtle Barnes,male,9,7,1,10,3
40,1158,Susan Flores,male,3,8,7,5,5
