STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1119,Nathaniel Watts,female,1,1,10,7,6
2,1120,Alberta Ingram,male,8,9,1,4,10
3,1121,Gayle Welch,female,3,8,8,9,6
4,1122,Lindsey Elliott,female,4,7,3,6,2
5,1123,Marcus Lindsey,female,8,4,2,7,10
6,1124,Juana Jenkins,female,6,8,10,7,3
7,1125,Martha Peters,female,9,3,10,3,2
8,1126,Katie Glover,male,4,3,5,7,7
9,1127,Mark Perry,female,1,4,2,7,9
10,1128,Jessie Rowe,male,3,10,10,7,5
11,1129,Delores Gibbs,female,8,6,9,4,7
12,1130,Winston Schmidt,female,4,6,8,10,2
13,1131,Betsy Ramos,male,4,6,7,9,5
14,1132,Wesley Terry,female,3,8,5,9,7
15,1133,Stewart Bishop,female,1,7,6,8,4
16,1134,Ricky Frank,male,1,7,4,8,2
17,1135,Brooke Collins,female,3,8,2,2,9
18,1136,Yolanda Gibson,male,8,5,5,9,2
19,1137,Julius Hammond,male,1,1,1,5,8
20,1138,Trevor Klein,female,9,2,10,6,8
21,1139,Olga Henry,male,4,3,2,6,5
22,1140,Yolanda Lawrence,male,7,2,1,7,8
23,1141,Karen Greene,female,4,4,7,7,2
24,1142,Melinda Watts,male,9,9,6,8,7
25,1143,Terry Gibson,female,9,5,7,5,9
26,1144,Rosemarie Simon,male,8,2,7,3,2
27,1145,Dale Chandler,male,10,4,1,10,2
28,1146,Tommie Page,male,5,6,10,4,10
29,1147,Malcolm Wood,female,4,2,2,8,8
30,1148,Jorge Jennings,female,8,2,2,9,5
31,1149,Tammy Sullivan,male,4,10,10,9,4
32,1150,Sherri Stevenson,male,7,8,3,7,7
33,1151,Francis Mccoy,male,9,1,3,7,3
34,1152,Noah Lambert,female,3,3,6,5,8
35,1153,Alvin Ryan,male,4,7,3,6,6
36,1154,Ollie Green,female,10,3,9,1,6
37,1155,Marta Alvarez,female,7,6,7,4,5
38,1156,Jerald Luna,male,4,5,9,6,5
39,1157,Myrtle Barnes,male,2,10,2,5,4
40,1158,Susan Flores,male,9,10,7,6,9
