STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1039,Maria King,male,1,5,2,5,6
2,1040,Cornelius Delgado,female,10,9,5,3,4
3,1041,Jo Underwood,female,1,9,10,3,8
4,1042,Guadalupe Aguilar,female,3,5,4,7,2
5,1043,Stacey Wood,male,10,3,9,10,2
6,1044,Darin Dawson,female,3,8,6,2,8
7,1045,James Carson,male,8,4,7,1,5
8,1046,Bonnie Taylor,male,5,3,9,5,10
9,1047,Rickey Maldonado,female,9,1,8,5,7
10,1048,Ivan Shaw,female,7,9,6,2,4
11,1049,Krista Murphy,female,6,1,10,3,4
12,1050,Mona Tyler,female,4,4,8,7,9
13,1051,Laverne Roberts,female,3,10,7,9,9
14,1052,Rex Soto,female,9,10,7,2,8
15,1053,Robert Matthews,female,5,9,10,6,6
16,1054,Maryann Newman,female,1,4,2,3,5
17,1055,Gordon Oliver,male,3,9,9,1,6
18,1056,Kelvin Greene,female,4,10,5,10,8
19,1057,Elbert Burns,female,3,3,7,1,7
20,1058,Nicole Garrett,male,7,4,2,1,10
21,1059,Jerald Crawford,male,3,3,10,3,3
22,1060,Catherine Torres,male,6,7,10,10,8
23,1061,Stanley Vega,male,9,7,5,4,3
24,1062,Frederick Ray,female,3,7,10,9,4
25,1063,Loren Barnett,female,4,4,4,7,8
26,1064,Terrance Wallace,female,6,9,4,10,9
27,1065,Johanna Warren,male,5,5,7,5,5
28,1066,Dallas Benson,male,3,7,9,10,8
29,1067,Malcolm Cooper,male,8,6,9,9,7
30,1068,Troy Mcdonald,female,4,5,4,8,7
31,1069,Sergio Morrison,male,1,2,10,6,9
32,1070,Genevieve Bell,female,2,2,5,7,9
33,1071,Celia Swanson,male,8,4,4,10,5
34,1072,Jordan Tran,female,10,10,9,4,3
35,1073,Amy Black,male,5,10,9,3,5
36,1074,Craig Barton,male,10,5,3,3,3
37,1075,Lynn Adams,female,9,2,1,2,1
38,1076,Clifford Patton,male,10,1,9,4,10
39,1077,Wilma Simpson,female,4,6,9,3,9
40,1078,Beth Simmons,male,1,8,1,1,6
