STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1039,Maria King,male,8,2,6,2,3
2,1040,Cornelius Delgado,female,5,3,9,3,10
3,1041,Jo Underwood,female,10,4,2,10,10
4,1042,Guadalupe Aguilar,female,8,2,3,10,8
5,1043,Stacey Wood,male,7,9,3,2,1
6,1044,Darin Dawson,female,5,7,6,7,4
7,1045,James Carson,male,2,8,4,4,8
8,1046,Bonnie Taylor,male,9,7,9,6,2
9,1047,Rickey Maldonado,female,1,9,5,5,5
10,1048,Ivan Shaw,female,10,3,7,5,3
11,1049,Krista Murphy,female,6,10,1,4,2
12,1050,Mona Tyler,female,8,8,6,8,5
13,1051,Laverne Roberts,female,6,2,8,5,5
14,1052,Rex Soto,female,9,7,7,2,5
15,1053,Robert Matthews,female,3,9,4,5,2
16,1054,Maryann Newman,female,6,6,2,6,2
17,1055,Gordon Oliver,male,3,2,9,9,10
18,1056,Kelvin Greene,female,3,5,10,9,1
19,1057,Elbert Burns,female,7,1,4,2,8
20,1058,Nicole Garrett,male,6,7,7,9,5
21,1059,Jerald Crawford,male,6,5,4,6,2
22,1060,Catherine Torres,male,2,6,2,4,10
23,1061,Stanley Vega,male,7,4,8,8,10
24,1062,Frederick Ray,female,10,2,3,5,8
25,1063,Loren Barnett,female,1,3,7,3,6
26,1064,Terrance Wallace,female,9,7,7,7,9
27,1065,Johanna Warren,male,1,7,2,6,1
28,1066,Dallas Benson,male,3,1,1,2,4
29,1067,Malcolm Cooper,male,10,1,4,6,2
30,1068,Troy Mcdonald,female,3,9,8,5,3
31,1069,Sergio Morrison,male,2,2,2,2,1
32,1070,Genevieve Bell,female,7,10,2,3,1
33,1071,Celia Swanson,male,1,6,7,1,10
34,1072,Jordan Tran,female,7,5,3,9,8
35,1073,Amy Black,male,5,8,10,3,5
36,1074,Craig Barton,male,3,4,3,4,1
37,1075,Lynn Adams,female,2,2,10,6,4
38,1076,Clifford Patton,male,6,8,3,1,8
39,1077,Wilma Simpson,female,1,10,10,6,4
40,1078,Beth Simmons,male,9,10,6,10,5
