STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1079,Dixie Campbell,male,5,9,6,10,9
2,1080,Louis Rice,male,1,6,1,1,4
3,1081,Nathan Holland,male,9,2,10,6,7
4,1082,Terrence Wade,male,2,8,3,10,10
5,1083,Everett Mathis,female,9,2,6,4,2
6,1084,Roberta Joseph,female,9,4,7,1,8
7,1085,Julio Hardy,male,10,3,10,6,4
8,1086,Armando Fox,female,4,4,8,10,1
9,1087,Iris Hunter,female,7,1,6,10,9
10,1088,Otis Townsend,female,10,4,9,6,6
11,1089,Olive Harris,male,10,2,10,9,5
12,1090,Ian Brewer,male,8,7,10,7,3
13,1091,Greg Foster,female,6,8,9,6,4
14,1092,Erika Barnes,male,7,9,9,7,3
15,1093,Eric Mccarthy,female,9,8,6,4,7
16,1094,Erik Mcguire,male,6,6,4,4,3
17,1095,Archie Dawson,female,9,5,6,10,10
18,1096,Nancy Hughes,female,8,8,1,1,10
19,1097,Salvador Robbins,female,5,10,9,7,2
20,1098,Casey Neal,female,7,8,3,7,8
21,1099,Ricardo Wilkins,female,1,4,10,5,6
22,1100,Eva Miller,female,7,1,3,1,10
23,1101,Russell Reyes,female,8,6,7,1,3
24,1102,Cora Floyd,male,5,9,5,9,4
25,1103,Rick Herrera,male,1,7,1,2,6
26,1104,Anne Morris,male,3,2,4,7,6
27,1105,Samuel Burke,male,5,8,6,3,7
28,1106,Tara Hawkins,female,8,10,1,8,2
29,1107,Marc Little,male,10,10,8,10,4
30,1108,Andres Houston,female,10,6,2,6,2
31,1109,Geraldine George,male,7,6,7,1,8
32,1110,Fernando Roy,female,5,2,1,9,5
33,1111,Myra Burgess,male,7,8,4,1,2
34,1112,Leah Wilkerson,male,10,3,1,4,8
35,1113,Danielle Ball,female,4,7,1,6,5
36,1114,Carl Rios,female,8,7,9,1,5
37,1115,Viola Thomas,female,9,8,2,6,10
38,1116,Esther Mendoza,female,5,1,2,3,9
39,1117,Constance Ramsey,female,1,7,7,10,8
40,1118,Irene Vasquez,male,4,8,6,7,5
