STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1079,Dixie Campbell,male,7,5,1,2,1
2,1080,Louis Rice,male,5,9,2,4,8
3,1081,Nathan Holland,male,8,5,6,1,3
4,1082,Terrence Wade,male,2,7,3,2,10
5,1083,Everett Mathis,female,4,1,7,5,3
6,1084,Roberta Joseph,female,10,6,2,1,8
7,1085,Julio Hardy,male,10,7,3,6,7
8,1086,Armando Fox,female,1,5,1,1,10
9,1087,Iris Hunter,female,2,9,7,1,8
10,1088,Otis Townsend,female,6,10,9,8,5
11,1089,Olive Harris,male,6,6,7,2,6
12,1090,Ian Brewer,male,7,1,2,3,2
13,1091,Greg Foster,female,1,10,6,5,3
14,1092,Erika Barnes,male,1,7,1,7,6
15,1093,Eric Mccarthy,female,1,4,4,7,6
16,1094,Erik Mcguire,male,9,5,1,9,10
17,1095,Archie Dawson,female,10,6,5,6,2
18,1096,Nancy Hughes,female,3,5,4,4,5
19,1097,Salvador Robbins,female,3,9,9,8,6
20,1098,Casey Neal,female,4,10,8,10,5
21,1099,Ricardo Wilkins,female,5,7,3,6,8
22,1100,Eva Miller,female,5,3,8,8,4
23,1101,Russell Reyes,female,1,7,1,10,10
24,1102,Cora Floyd,male,8,8,1,1,2
25,1103,Rick Herrera,male,5,8,3,3,8
26,1104,Anne Morris,male,10,6,1,3,5
27,1105,Samuel Burke,male,7,10,1,5,4
28,1106,Tara Hawkins,female,5,7,6,5,10
29,1107,Marc Little,male,7,3,3,9,5
30,1108,Andres Houston,female,2,8,5,2,6
31,1109,Geraldine George,male,1,1,6,9,10
32,1110,Fernando Roy,female,1,1,9,7,7
33,1111,Myra Burgess,male,6,8,8,4,6
34,1112,Leah Wilkerson,male,2,6,8,3,8
35,1113,Danielle Ball,female,6,10,10,10,2
36,1114,Carl Rios,female,2,6,10,2,9
37,1115,Viola Thomas,female,7,1,2,7,4
38,1116,Esther Mendoza,female,3,9,8,10,6
39,1117,Constance Ramsey,female,6,2,7,3,4
40,1118,Irene Vasquez,male,8,7,6,8,9
