STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1079,Dixie Campbell,male,5,10,2,8,6
2,1080,Louis Rice,male,5,6,9,4,1
3,1081,Nathan Holland,male,3,10,3,3,4
4,1082,Terrence Wade,male,9,6,9,8,4
5,1083,Everett Mathis,female,6,2,5,4,6
6,1084,Roberta Joseph,female,4,6,5,1,3
7,1085,Julio Hardy,male,1,4,10,6,10
8,1086,Armando Fox,female,6,7,4,10,5
9,1087,Iris Hunter,female,9,10,6,3,10
10,1088,Otis Townsend,female,1,6,1,4,6
11,1089,Olive Harris,male,10,2,7,7,7
12,1090,Ian Brewer,male,10,2,3,10,6
13,1091,Greg Foster,female,5,6,3,3,3
14,1092,Erika Barnes,male,1,4,8,3,7
15,1093,Eric Mccarthy,female,2,7,2,9,7
16,1094,Erik Mcguire,male,6,3,10,2,6
17,1095,Archie Dawson,female,8,6,1,10,8
18,1096,Nancy Hughes,female,5,6,4,1,2
19,1097,Salvador Robbins,female,2,3,8,10,10
20,1098,Casey Neal,female,4,8,7,9,8
21,1099,Ricardo Wilkins,female,3,10,3,9,9
22,1100,Eva Miller,female,3,6,9,5,9
23,1101,Russell Reyes,female,6,9,4,9,2
24,1102,Cora Floyd,male,10,8,2,2,2
25,1103,Rick Herrera,male,10,7,7,3,8
26,1104,Anne Morris,male,6,5,6,10,8
27,1105,Samuel Burke,male,3,8,8,2,10
28,1106,Tara Hawkins,female,5,2,7,8,9
29,1107,Marc Little,male,4,8,5,8,3
30,1108,Andres Houston,female,10,4,9,4,5
31,1109,Geraldine George,male,1,9,2,7,8
32,1110,Fernando Roy,female,3,7,4,9,1
33,1111,Myra Burgess,male,5,4,1,8,1
34,1112,Leah Wilkerson,male,3,9,4,10,10
35,1113,Danielle Ball,female,7,8,4,3,5
36,1114,Carl Rios,female,2,1,1,5,8
37,1115,Viola Thomas,female,7,10,8,3,4
38,1116,Esther Mendoza,female,6,4,3,9,3
39,1117,Constance Ramsey,female,8,5,10,4,7
40,1118,Irene Vasquez,male,6,7,1,4,4
