STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1079,Dixie Campbell,male,5,4,10,7,4
2,1080,Louis Rice,male,8,10,8,8,3
3,1081,Nathan Holland,male,3,8,7,9,2
4,1082,Terrence Wade,male,10,1,3,5,3
5,1083,Everett Mathis,female,4,10,5,8,2
6,1084,Roberta Joseph,female,10,10,7,3,2
7,1085,Julio Hardy,male,7,8,5,8,5
8,1086,Armando Fox,female,3,2,5,3,9
9,1087,Iris Hunter,female,10,2,7,4,3
10,1088,Otis Townsend,female,9,5,4,5,6
11,1089,Olive Harris,male,2,4,2,9,7
12,1090,Ian Brewer,male,3,4,4,6,3
13,1091,Greg Foster,female,4,10,6,9,4
14,1092,Erika Barnes,male,10,8,6,8,8
15,1093,Eric Mccarthy,female,4,5,6,3,3
16,1094,Erik Mcguire,male,3,9,8,4,2
17,1095,Archie Dawson,female,2,10,7,1,7
18,1096,Nancy Hughes,female,9,2,9,6,3
19,1097,Salvador Robbins,female,8,2,5,3,2
20,1098,Casey Neal,female,1,7,9,3,1
21,1099,Ricardo Wilkins,female,4,3,6,8,3
22,1100,Eva Miller,female,2,3,6,7,7
23,1101,Russell Reyes,female,8,1,2,4,3
24,1102,Cora Floyd,male,10,4,3,9,9
25,1103,Rick Herrera,male,2,8,6,5,5
26,1104,Anne Morris,male,4,1,2,4,1
27,1105,Samuel Burke,male,6,4,3,1,4
28,1106,Tara Hawkins,female,5,9,5,9,7
29,1107,Marc Little,male,5,7,8,10,5
30,1108,Andres Houston,female,1,1,9,7,3
31,1109,Geraldine George,male,2,5,6,1,10
32,1110,Fernando Roy,female,2,1,7,7,9
33,1111,Myra Burgess,male,10,6,1,1,6
34,1112,Leah Wilkerson,male,10,5,5,6,2
35,1113,Danielle Ball,female,9,2,9,8,9
36,1114,Carl Rios,female,7,7,3,6,8
37,1115,Viola Thomas,female,10,3,4,8,4
38,1116,Esther Mendoza,female,9,3,5,10,10
39,1117,Constance Ramsey,female,1,2,6,7,4
40,1118,Irene Vasquez,male,4,9,2,7,6
