STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1079,Dixie Campbell,male,6,4,6,3,9
2,1080,Louis Rice,male,8,1,1,1,1
3,1081,Nathan Holland,male,1,2,9,10,1
4,1082,Terrence Wade,male,6,3,8,9,3
5,1083,Everett Mathis,female,8,2,10,1,2
6,1084,Roberta Joseph,female,9,1,6,10,1
7,1085,Julio Hardy,male,8,8,6,4,7
8,1086,Armando Fox,female,9,10,2,10,8
9,1087,Iris Hunter,female,1,7,4,10,2
10,1088,Otis Townsend,female,1,2,7,10,2
11,1089,Olive Harris,male,6,9,2,9,7
12,1090,Ian Brewer,male,5,9,1,5,5
13,1091,Greg Foster,female,10,7,7,2,6
14,1092,Erika Barnes,male,9,6,5,5,4
15,1093,Eric Mccarthy,female,9,1,1,6,3
16,1094,Erik Mcguire,male,1,10,1,7,3
17,1095,Archie Dawson,female,9,7,4,1,10
18,1096,Nancy Hughes,female,10,1,8,3,2
19,1097,Salvador Robbins,female,7,3,4,10,2
20,1098,Casey Neal,female,2,3,4,2,6
21,1099,Ricardo Wilkins,female,5,9,5,5,1
22,1100,Eva Miller,female,3,6,5,7,2
23,1101,Russell Reyes,female,1,9,7,5,10
24,1102,Cora Floyd,male,1,10,2,5,6
25,1103,Rick Herrera,male,4,8,5,8,2
26,1104,Anne Morris,male,4,5,10,9,1
27,1105,Samuel Burke,male,6,2,4,10,4
28,1106,Tara Hawkins,female,10,4,4,7,7
29,1107,Marc Little,male,6,9,3,6,9
30,1108,Andres Houston,female,3,9,3,3,10
31,1109,Geraldine George,male,6,9,1,10,8
32,1110,Fernando Roy,female,1,2,4,4,6
33,1111,Myra Burgess,male,7,5,8,2,4
34,1112,Leah Wilkerson,male,9,10,8,3,8
35,1113,Danielle Ball,female,8,4,10,1,9
36,1114,Carl Rios,female,4,5,3,7,5
37,1115,Viola Thomas,female,4,2,2,4,8
38,1116,Esther Mendoza,female,8,6,2,1,10
39,1117,Constance Ramsey,female,3,6,1,6,3
40,1118,Irene Vasquez,male,7,3,5,10,6
