STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1079,Dixie Campbell,male,9,9,3,8,2
2,1080,Louis Rice,male,5,3,1,5,1
3,1081,Nathan Holland,male,8,9,1,8,3
4,1082,Terrence Wade,male,1,5,5,8,2
5,1083,Everett Mathis,female,3,1,7,6,7
6,1084,Roberta Joseph,female,7,6,5,5,9
7,1085,Julio Hardy,male,8,6,4,1,3
8,1086,Armando Fox,female,1,10,4,3,5
9,1087,Iris Hunter,female,3,6,9,8,2
10,1088,Otis Townsend,female,6,6,7,6,7
11,1089,Olive Harris,male,4,5,10,4,2
12,1090,Ian Brewer,male,4,10,4,5,8
13,1091,Greg Foster,female,4,1,3,10,7
14,1092,Erika Barnes,male,7,1,2,3,5
15,1093,Eric Mccarthy,female,8,10,8,2,9
16,1094,Erik Mcguire,male,4,8,3,5,7
17,1095,Archie Dawson,female,5,3,10,4,5
18,1096,Nancy Hughes,female,8,7,4,2,2
19,1097,Salvador Robbins,female,5,1,6,3,5
20,1098,Casey Neal,female,10,4,9,4,2
21,1099,Ricardo Wilkins,female,8,8,4,8,10
22,1100,Eva Miller,female,1,9,9,2,6
23,1101,Russell Reyes,female,10,1,5,6,5
24,1102,Cora Floyd,male,8,6,1,4,9
25,1103,Rick Herrera,male,6,6,3,6,8
26,1104,Anne Morris,male,5,3,3,8,5
27,1105,Samuel Burke,male,9,2,6,8,6
28,1106,Tara Hawkins,female,7,4,4,2,4
29,1107,Marc Little,male,9,1,5,3,7
30,1108,Andres Houston,female,10,4,10,10,9
31,1109,Geraldine George,male,3,1,5,9,6
32,1110,Fernando Roy,female,5,8,4,5,5
33,1111,Myra Burgess,male,5,4,4,6,4
34,1112,Leah Wilkerson,male,5,8,5,8,7
35,1113,Danielle Ball,female,2,5,3,5,2
36,1114,Carl Rios,female,6,7,3,9,1
37,1115,Viola Thomas,female,7,8,6,2,8
38,1116,Esther Mendoza,female,3,6,9,9,4
39,1117,Constance Ramsey,female,9,9,9,7,10
40,1118,Irene Vasquez,male,4,9,7,5,7
