STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1079,Dixie Campbell,male,8,2,2,10,8
2,1080,Louis Rice,male,3,8,6,1,8
3,1081,Nathan Holland,male,10,5,7,6,7
4,1082,Terrence Wade,male,4,6,1,7,8
5,1083,Everett Mathis,female,10,1,6,3,3
6,1084,Roberta Joseph,female,7,10,3,6,6
7,1085,Julio Hardy,male,5,3,6,6,1
8,1086,Armando Fox,female,8,4,6,9,10
9,1087,Iris Hunter,female,3,5,2,5,8
10,1088,Otis Townsend,female,2,3,7,6,8
11,1089,Olive Harris,male,10,9,5,10,5
12,1090,Ian Brewer,male,2,2,8,6,3
13,1091,Greg Foster,female,3,2,1,3,3
14,1092,Erika Barnes,male,3,3,5,5,1
15,1093,Eric Mccarthy,female,10,3,10,5,1
16,1094,Erik Mcguire,male,8,2,10,7,8
17,1095,Archie Dawson,female,6,5,1,3,9
18,1096,Nancy Hughes,female,7,8,9,1,9
19,1097,Salvador Robbins,female,10,4,1,6,8
20,1098,Casey Neal,female,7,10,3,6,2
21,1099,Ricardo Wilkins,female,8,5,1,8,4
22,1100,Eva Miller,female,7,8,7,2,9
23,1101,Russell Reyes,female,5,7,8,1,2
24,1102,Cora Floyd,male,3,5,8,9,10
25,1103,Rick Herrera,male,9,8,3,5,9
26,1104,Anne Morris,male,3,8,9,3,5
27,1105,Samuel Burke,male,6,6,8,6,9
28,1106,Tara Hawkins,female,4,7,9,3,6
29,1107,Marc Little,male,5,1,6,8,9
30,1108,Andres Houston,female,8,1,10,4,4
31,1109,Geraldine George,male,5,9,2,7,10
32,1110,Fernando Roy,female,5,5,3,5,5
33,1111,Myra Burgess,male,1,7,6,8,1
34,1112,Leah Wilkerson,male,10,1,9,10,2
35,1113,Danielle Ball,female,6,8,4,10,9
36,1114,Carl Rios,female,9,6,7,1,10
37,1115,Viola Thomas,female,10,1,7,3,9
38,1116,Esther Mendoza,female,10,1,10,2,1
39,1117,Constance Ramsey,female,2,4,2,4,3
40,1118,Irene Vasquez,male,10,6,5,2,7
