STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1079,Dixie Campbell,male,1,6,3,3,1
2,1080,Louis Rice,male,5,10,3,10,7
3,1081,Nathan Holland,male,3,2,8,5,5
4,1082,Terrence Wade,male,4,6,6,4,3
5,1083,Everett Mathis,female,5,7,9,6,1
6,1084,Roberta Joseph,female,6,8,7,10,1
7,1085,Julio Hardy,male,8,6,4,8,6
8,1086,Armando Fox,female,4,2,7,10,6
9,1087,Iris Hunter,female,9,4,5,3,4
10,1088,Otis Townsend,female,7,4,7,7,2
11,1089,Olive Harris,male,3,6,7,2,5
12,1090,Ian Brewer,male,2,9,1,3,1
13,1091,Greg Foster,female,9,6,1,2,10
14,1092,Erika Barnes,male,2,4,6,1,5
15,1093,Eric Mccarthy,female,8,3,10,3,9
16,1094,Erik Mcguire,male,5,10,8,4,7
17,1095,Archie Dawson,female,10,2,3,2,1
18,1096,Nancy Hughes,female,2,6,5,4,10
19,1097,Salvador Robbins,female,7,2,9,1,5
20,1098,Casey Neal,female,10,7,6,6,5
21,1099,Ricardo Wilkins,female,2,5,2,10,4
22,1100,Eva Miller,female,4,6,10,10,2
23,1101,Russell Reyes,female,6,3,1,4,7
24,1102,Cora Floyd,male,1,5,8,6,9
25,1103,Rick Herrera,male,3,10,8,4,10
26,1104,Anne Morris,male,4,3,10,6,6
27,1105,Samuel Burke,male,7,4,6,6,7
28,1106,Tara Hawkins,female,8,7,2,7,7
29,1107,Marc Little,male,3,9,8,5,10
30,1108,Andres Houston,female,9,10,8,8,2
31,1109,Geraldine George,male,10,3,7,9,7
32,1110,Fernando Roy,female,4,8,1,4,4
33,1111,Myra Burgess,male,10,8,7,7,6
34,1112,Leah Wilkerson,male,4,10,4,7,10
35,1113,Danielle Ball,female,7,2,2,6,3
36,1114,Carl Rios,female,5,1,10,2,8
37,1115,Viola Thomas,female,9,1,7,4,5
38,1116,Esther Mendoza,female,4,4,2,3,3
39,1117,Constance Ramsey,female,3,4,6,7,3
40,1118,Irene Vasquez,male,1,7,2,8,1
