STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1231,Marshall Huff,female,8,5,10,1,5
2,1232,Robin Ramsey,male,3,10,5,5,10
3,1233,Noel Holmes,male,7,8,3,3,2
4,1234,Leland Oliver,female,4,9,6,8,8
5,1235,Ellis Davidson,female,1,6,10,5,5
6,1236,Laverne Mendoza,female,1,10,8,8,10
7,1237,Diana Robbins,female,5,3,7,9,3
8,1238,Rickey Mckenzie,female,2,5,8,10,8
9,1239,Beth Simmons,male,10,3,8,3,3
10,1199,Jessica Payne,male,8,2,6,8,4
11,1200,Juan Russell,male,1,9,8,7,1
12,1201,Milton Martin,female,1,1,1,9,4
13,1202,Carlos Baker,female,4,5,7,6,1
14,1203,Harvey Holland,male,9,6,8,2,8
15,1204,Roosevelt Romero,male,1,5,7,8,5
16,1205,Andy Gill,female,10,6,8,9,2
17,1206,Leigh Sharp,male,4,7,2,3,10
18,1207,Hilda Allen,female,9,4,9,5,8
19,1208,Raymond Weber,male,5,1,4,9,4
20,1209,Gerald Henry,male,1,1,1,5,2
21,1210,Jean Price,female,2,2,10,3,9
22,1211,Verna Marshall,male,6,7,9,1,10
23,1212,Mona Porter,male,3,3,7,2,1
24,1213,Maureen Todd,female,6,8,1,10,7
25,1214,Glenda Woods,male,7,4,4,5,4
26,1215,Seth Hampton,male,5,4,1,4,3
27,1216,Alison Nichols,male,1,8,9,3,1
28,1217,Kayla Evans,female,7,9,7,10,7
29,1218,Levi Freeman,female,10,4,3,3,8
30,1219,Henry Williamson,male,5,5,8,5,8
31,1220,Virgil Jacobs,male,7,9,9,7,6
32,1221,Shelley Hughes,female,8,7,5,10,6
33,1222,Clifford Obrien,male,6,4,10,3,6
34,1223,Armando Harrison,male,1,9,6,2,9
35,1224,Judith Conner,female,2,8,4,6,4
36,1225,Peter Underwood,female,1,4,3,1,1
37,1226,Betsy Gutierrez,male,9,7,2,2,8
38,1227,Alexis Mcbride,female,6,1,10,4,8
39,1228,Courtney Kennedy,female,1,3,5,1,1
40,1229,Clint Lynch,male,8,1,8,9,3
41,1230,Bertha Smith,female,7,9,1,1,1
