STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1231,Marshall Huff,female,2,5,3,2,4
2,1232,Robin Ramsey,male,7,5,8,3,2
3,1233,Noel Holmes,male,8,2,6,4,6
4,1234,Leland Oliver,female,2,2,10,5,5
5,1235,Ellis Davidson,female,4,3,5,6,4
6,1236,Laverne Mendoza,female,6,5,2,5,9
7,1237,Diana Robbins,female,5,2,5,9,2
8,1238,Rickey Mckenzie,female,3,5,7,2,3
9,1239,Beth Simmons,male,4,10,1,4,6
10,1199,Jessica Payne,male,4,4,1,8,8
11,1200,Juan Russell,male,1,8,5,8,5
12,1201,Milton Martin,female,9,7,1,6,8
13,1202,Carlos Baker,female,7,10,4,4,8
14,1203,Harvey Holland,male,3,1,5,5,6
15,1204,Roosevelt Romero,male,3,7,6,7,9
16,1205,Andy Gill,female,7,5,3,1,10
17,1206,Leigh Sharp,male,7,8,9,7,8
18,1207,Hilda Allen,female,10,7,3,3,4
19,1208,Raymond Weber,male,4,3,1,10,1
20,1209,Gerald Henry,male,5,3,8,1,1
21,1210,Jean Price,female,4,4,8,5,4
22,1211,Verna Marshall,male,4,4,1,4,4
23,1212,Mona Porter,male,8,2,5,9,4
24,1213,Maureen Todd,female,10,1,6,5,9
25,1214,Glenda Woods,male,6,7,6,4,3
26,1215,Seth Hampton,male,5,6,9,8,3
27,1216,Alison Nichols,male,1,8,4,4,2
28,1217,Kayla Evans,female,3,7,6,7,6
29,1218,Levi Freeman,female,8,1,5,8,9
30,1219,Henry Williamson,male,5,6,4,10,1
31,1220,Virgil Jacobs,male,8,9,6,9,6
32,1221,Shelley Hughes,female,6,4,5,2,7
33,1222,Clifford Obrien,male,5,2,6,1,10
34,1223,Armando Harrison,male,6,2,6,7,10
35,1224,Judith Conner,female,6,7,8,3,10
36,1225,Peter Underwood,female,3,10,10,9,5
37,1226,Betsy Gutierrez,male,10,8,2,7,9
38,1227,Alexis Mcbride,female,6,9,4,4,5
39,1228,Courtney Kennedy,female,2,4,8,6,5
40,1229,Clint Lynch,male,1,6,9,7,4
41,1230,Bertha Smith,female,1,5,4,10,7
