STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1231,Marshall Huff,female,6,6,7,9,3
2,1232,Robin Ramsey,male,6,3,8,7,6
3,1233,Noel Holmes,male,8,9,5,2,1
4,1234,Leland Oliver,female,4,1,1,3,2
5,1235,Ellis Davidson,female,8,2,3,5,9
6,1236,Laverne Mendoza,female,3,10,8,10,3
7,1237,Diana Robbins,female,5,1,9,4,8
8,1238,Rickey Mckenzie,female,8,9,2,5,3
9,1239,Beth Simmons,male,5,6,4,6,10
10,1199,Jessica Payne,male,10,8,6,8,8
11,1200,Juan Russell,male,4,4,6,8,4
12,1201,Milton Martin,female,9,3,9,1,9
13,1202,Carlos Baker,female,7,5,3,2,5
14,1203,Harvey Holland,male,1,3,6,1,6
15,1204,Roosevelt Romero,male,3,2,10,9,3
16,1205,Andy Gill,female,5,5,4,7,5
17,1206,Leigh Sharp,male,8,6,5,7,2
18,1207,Hilda Allen,female,5,10,5,3,4
19,1208,Raymond Weber,male,7,1,3,4,1
20,1209,Gerald Henry,male,4,9,1,4,5
21,1210,Jean Price,female,3,4,4,4,1
22,1211,Verna Marshall,male,2,3,1,4,9
23,1212,Mona Porter,male,3,7,8,9,6
24,1213,Maureen Todd,female,8,8,3,3,2
25,1214,Glenda Woods,male,6,3,9,7,9
26,1215,Seth Hampton,male,4,9,4,9,4
27,1216,Alison Nichols,male,7,6,8,2,4
28,1217,Kayla Evans,female,5,3,8,5,10
29,1218,Levi Freeman,female,9,2,10,8,6
30,1219,Henry Williamson,male,6,4,5,7,10
31,1220,Virgil Jacobs,male,3,1,6,4,4
32,1221,Shelley Hughes,female,2,5,4,5,6
33,1222,Clifford Obrien,male,6,3,4,4,5
34,1223,Armando Harrison,male,7,4,8,9,9
35,1224,Judith Conner,female,10,4,5,7,4
36,1225,Peter Underwood,female,9,2,5,3,4
37,1226,Betsy Gutierrez,male,3,3,5,1,2
38,1227,Alexis Mcbride,female,9,4,9,2,8
39,1228,Courtney Kennedy,female,2,2,3,7,7
40,1229,Clint Lynch,male,10,8,6,3,4
41,1230,Bertha Smith,female,6,1,3,2,7
